azimuth,elevation,efficiency
0,0,0.050517587406601
0,1,0.087865447291486
0,2,0.124009441968403
0,3,0.152151225141186
0,4,0.174065848867213
0,5,0.191956104888108
0,6,0.20695396065718
0,7,0.220019385862662
0,8,0.232312639873403
0,9,0.243737613414625
0,10,0.25422562595714
0,11,0.26424490378403
0,12,0.27415308709485
0,13,0.283925211225126
0,14,0.293416231028091
0,15,0.302584682298096
0,16,0.311357090889812
0,17,0.319464808808837
0,18,0.327327632199479
0,19,0.334808319971957
0,20,0.341915805656627
0,21,0.348670617852634
0,22,0.355427030626369
0,23,0.361657031605755
0,24,0.367905155320819
0,25,0.374105189363491
0,26,0.380024741305826
0,27,0.385962625059384
0,28,0.391655532337188
0,29,0.397350666009502
0,30,0.403036115062495
0,31,0.408714720370295
0,32,0.414214601642445
0,33,0.419735435093981
0,34,0.425198676188322
0,35,0.430852400266093
0,36,0.436195201304767
0,37,0.44151152504661
0,38,0.447036562092405
0,39,0.452338133408234
0,40,0.457701760090403
0,41,0.463047091779018
0,42,0.468236676753812
0,43,0.473537658441266
0,44,0.478767248722181
0,45,0.483937979028311
0,46,0.489322426462534
0,47,0.494251500376246
0,48,0.499332011823955
0,49,0.504419666917872
0,50,0.509489125145068
0,51,0.51444111108483
0,52,0.519437692500175
0,53,0.524441497146683
0,54,0.529197934529101
0,55,0.534140697980726
0,56,0.539060137519534
0,57,0.543645810624797
0,58,0.54858528879565
0,59,0.553254596165353
0,60,0.557897515431357
0,61,0.562606349635609
0,62,0.567052524812595
0,63,0.571541183801778
0,64,0.57612844437191
0,65,0.580532752346872
0,66,0.585091969643238
0,67,0.589515204425002
0,68,0.593868321311191
0,69,0.598242864504652
0,70,0.602335764566096
0,71,0.606612197687765
0,72,0.610893226521015
0,73,0.614824327517386
0,74,0.618929074702884
0,75,0.62302661332044
0,76,0.626669702203534
0,77,0.63081809753021
0,78,0.634691320236889
0,79,0.638660941629222
0,80,0.642240502402775
0,81,0.6459388605223
0,82,0.649693633323528
0,83,0.653393467523347
0,84,0.65679518111903
0,85,0.660458400474887
0,86,0.663895504888136
0,87,0.667193784011914
0,88,0.670741418886071
0,89,0.673999168045967
0,90,0.677190422089489
1,0,0.050332304996369
1,1,0.087135437200699
1,2,0.124032760111363
1,3,0.152486365119785
1,4,0.174239848926754
1,5,0.191965334570913
1,6,0.206814870053539
1,7,0.219992616342567
1,8,0.232322250654916
1,9,0.243746552258778
1,10,0.25429236379208
1,11,0.264301840048694
1,12,0.274264181202548
1,13,0.283882187973636
1,14,0.293336220011236
1,15,0.302638814792412
1,16,0.311345906606429
1,17,0.319509760297651
1,18,0.327420050815209
1,19,0.334851318454423
1,20,0.341898728452131
1,21,0.34879465125748
1,22,0.355340162277294
1,23,0.361633353324159
1,24,0.367983596430042
1,25,0.374009218828637
1,26,0.380011479285721
1,27,0.386000107626558
1,28,0.391826798909918
1,29,0.397393718801522
1,30,0.403168412528775
1,31,0.408663048057604
1,32,0.414287438293068
1,33,0.419773355408685
1,34,0.425446613896563
1,35,0.430805156873576
1,36,0.436214611437934
1,37,0.441689125636509
1,38,0.447025847340007
1,39,0.4524484284902
1,40,0.457730975310779
1,41,0.463154008200625
1,42,0.468355806776074
1,43,0.473493930765977
1,44,0.478864429794206
1,45,0.484037531377588
1,46,0.489077231544509
1,47,0.494286818631986
1,48,0.499507736398255
1,49,0.504477309613733
1,50,0.509335952844254
1,51,0.514452826827231
1,52,0.519436555548141
1,53,0.52439139878457
1,54,0.529170069065032
1,55,0.534224099558162
1,56,0.539134129215293
1,57,0.543844182762373
1,58,0.548505927848428
1,59,0.55320834425675
1,60,0.557920103626092
1,61,0.562523156577237
1,62,0.567260541812336
1,63,0.571638148607574
1,64,0.576268209750834
1,65,0.580609891332758
1,66,0.585088203049568
1,67,0.589379212667335
1,68,0.593762070447217
1,69,0.598006851488246
1,70,0.602510634350778
1,71,0.606686178653961
1,72,0.61074030289703
1,73,0.614895255775113
1,74,0.618991505985273
1,75,0.622834254441472
1,76,0.626828900482036
1,77,0.630918714682738
1,78,0.634743234773177
1,79,0.638370502432259
1,80,0.642218003158808
1,81,0.645961712214836
1,82,0.649514006081077
1,83,0.653277716481649
1,84,0.656852948808337
1,85,0.660422951198827
1,86,0.66387734219336
1,87,0.667364821867109
1,88,0.670707089418948
1,89,0.673959184050437
1,90,0.677190422089489
2,0,0.050825007028058
2,1,0.087910211020824
2,2,0.124352333941295
2,3,0.152481872317325
2,4,0.174295999862248
2,5,0.192015347217427
2,6,0.206865841311914
2,7,0.220109740397032
2,8,0.232467346622023
2,9,0.24387908463473
2,10,0.254422521826206
2,11,0.264369458761342
2,12,0.274224149610515
2,13,0.283953581945028
2,14,0.293536585561644
2,15,0.302791683936936
2,16,0.311474037096198
2,17,0.319694377861837
2,18,0.327604276442632
2,19,0.334898837104057
2,20,0.342062572192558
2,21,0.348896351688549
2,22,0.355460194570732
2,23,0.36190719208322
2,24,0.368132455961267
2,25,0.374189353575315
2,26,0.38012213766343
2,27,0.386034369891866
2,28,0.39178147983451
2,29,0.397448534905219
2,30,0.403283731168701
2,31,0.408792069930208
2,32,0.414411745325893
2,33,0.4199079024004
2,34,0.425412170122299
2,35,0.430877518444222
2,36,0.436407046200082
2,37,0.44184376708979
2,38,0.447227057855123
2,39,0.452533446953693
2,40,0.457974187366942
