azimuth,elevation,efficiency
1,16,0.475467728962261
1,17,0.485994267914844
1,18,0.495928582649093
1,19,0.505321897597395
1,20,0.514247341722114
1,21,0.522569627093556
1,22,0.530204057732243
1,23,0.53755900479969
1,24,0.544168316677066
1,25,0.550365898148359
1,26,0.556150530710482
1,27,0.561657861798674
1,28,0.566741961593953
1,29,0.571487404215077
1,30,0.576146920755607
1,31,0.580328792368728
1,32,0.584427463033955
1,33,0.588251602221661
1,34,0.591878740454888
1,35,0.595228954799733
1,36,0.598484907925816
1,37,0.601751061090941
1,38,0.604816117162989
1,39,0.607682532751911
1,40,0.610360146757168
1,41,0.613132214490608
1,42,0.615389492878022
1,43,0.618124420265143
1,44,0.620597122244057
1,45,0.622800742688452
1,46,0.625312168195214
1,47,0.62718120118641
1,48,0.629250914719391
1,49,0.631157222400088
1,50,0.633120058195789
1,51,0.635208354283486
1,52,0.63705183172917
1,53,0.638743856391258
1,54,0.640499111239229
1,55,0.642186254012369
1,56,0.643836322035668
1,57,0.645622884266801
1,58,0.647398983183114
1,59,0.648832330879338
1,60,0.650252923392204
1,61,0.652145801064707
1,62,0.653667142602879
1,63,0.655254778385013
1,64,0.65689562389774
1,65,0.658115697711432
1,66,0.659657448921488
1,67,0.661152568287492
1,68,0.662592669985208
1,69,0.663794106165526
1,70,0.66566963544784
1,71,0.666795332934519
1,72,0.668206119308447
1,73,0.669422043130169
1,74,0.670769419370378
1,75,0.672076737315317
1,76,0.673140390960127
1,77,0.674525336836411
1,78,0.675711201971861
1,79,0.676500524211623
1,80,0.677743654490144
1,81,0.678754814655237
1,82,0.679627099197657
1,83,0.680579727637576
1,84,0.68147898547468
1,85,0.682370486250903
1,86,0.683084254697156
1,87,0.68380646281762
1,88,0.68445217776081
1,89,0.684893130499966
1,90,0.685479945316224
2,0,0.027896957703928
2,1,0.088217892756595
2,2,0.147946483103181
2,3,0.197448782193361
2,4,0.23921819481776
2,5,0.274628258466594
2,6,0.30478953962985
2,7,0.331149251998082
2,8,0.354313977906216
2,9,0.374847490237634
2,10,0.393097643590863
2,11,0.40962218719056
2,12,0.425027842126123
2,13,0.439265845743258
2,14,0.452114682656521
2,15,0.464085591196275
2,16,0.475263136602146
2,17,0.485904105856781
2,18,0.495777137982764
2,19,0.505194847985082
2,20,0.514057926258491
2,21,0.522185499679388
2,22,0.529930802649891
2,23,0.537348762672831
2,24,0.544010893743022
2,25,0.550207871636108
2,26,0.556151395488117
2,27,0.561373393994758
2,28,0.566484622153359
2,29,0.571595400407064
2,30,0.576080802555364
2,31,0.580335450153756
2,32,0.58419923792914
2,33,0.588106525570632
2,34,0.591676833924753
2,35,0.595226242796755
2,36,0.598408401031524
2,37,0.601739344238361
2,38,0.604499593695004
2,39,0.60741913218816
2,40,0.610281166694438
2,41,0.612943564952324
2,42,0.615679517864086
2,43,0.618017130425409
2,44,0.620626450896693
2,45,0.62264296377882
2,46,0.624938960999625
2,47,0.627169316180198
2,48,0.629188661112832
2,49,0.631201320242462
2,50,0.633069127994722
2,51,0.635138715231304
2,52,0.636954240366363
2,53,0.638724348131072
2,54,0.640445326045966
2,55,0.6423632906951
2,56,0.644132844412995
2,57,0.64565684531535
2,58,0.647216559061069
2,59,0.648863364211708
2,60,0.65054386237743
2,61,0.65200035680423
2,62,0.653760992205029
2,63,0.655220865113874
2,64,0.656688961752542
2,65,0.658032358677587
2,66,0.659587010642651
2,67,0.661303221502795
2,68,0.66258053007183
2,69,0.663898745436952
2,70,0.665539340292372
2,71,0.666943427043316
2,72,0.668293915947491
2,73,0.669610460865639
2,74,0.670832777200584
2,75,0.671972893253426
2,76,0.673096832226429
2,77,0.674302290043871
2,78,0.675631170995166
2,79,0.676876082674138
2,80,0.677811804477576
2,81,0.678792760531554
2,82,0.679698483683211
2,83,0.680638866309069
2,84,0.681519879588148
2,85,0.682266856649266
2,86,0.682996886649125
2,87,0.683820902042747
2,88,0.684528554789869
2,89,0.685022830109599
2,90,0.685479945316224
3,0,0.027857772966542
3,1,0.088133583173623
3,2,0.147916571455422
3,3,0.197360105425192
3,4,0.239073709835311
3,5,0.274612820071624
3,6,0.304729984304289
3,7,0.331157311167063
3,8,0.354353152284539
3,9,0.374869504410884
3,10,0.393100860744848
3,11,0.409712114545221
